kaisai_nen,kaisai_tsukihi,keibajo_code,kaisai_kai,kaisai_nichime,race_bango,bet_type,combo,weight_pct,suggested_amount
2026,0919,09,04,05,10,馬連,7-1,17.2,1500
2026,0919,09,04,05,10,馬連,7-4,26.7,2500
2026,0919,09,04,05,10,馬連,7-5,12.1,1000
2026,0919,09,04,05,10,馬連,7-6,38.5,4000
2026,0919,09,04,05,10,馬連,7-11,5.5,500
2026,0919,09,04,05,10,三連複,7-1-4,12.5,1500
2026,0919,09,04,05,10,三連複,7-1-5,5.7,500
2026,0919,09,04,05,10,三連複,7-1-6,18.1,2000
2026,0919,09,04,05,10,三連複,7-1-11,2.6,500
2026,0919,09,04,05,10,三連複,7-4-5,8.8,1000
2026,0919,09,04,05,10,三連複,7-4-6,28.0,3000
2026,0919,09,04,05,10,三連複,7-4-11,4.0,500
2026,0919,09,04,05,10,三連複,7-5-6,12.7,1500
2026,0919,09,04,05,10,三連複,7-5-11,1.8,500
2026,0919,09,04,05,10,三連複,7-6-11,5.8,500
2026,0919,09,04,05,11,馬連,15-4,53.6,5500
2026,0919,09,04,05,11,馬連,15-7,13.7,1500
2026,0919,09,04,05,11,馬連,15-8,7.5,500
2026,0919,09,04,05,11,馬連,15-10,7.1,500
2026,0919,09,04,05,11,馬連,15-6,18.1,2000
2026,0919,09,04,05,11,三連複,15-4-7,22.6,2500
2026,0919,09,04,05,11,三連複,15-4-8,12.4,1000
2026,0919,09,04,05,11,三連複,15-4-10,11.7,1000
2026,0919,09,04,05,11,三連複,15-4-6,29.8,3000
2026,0919,09,04,05,11,三連複,15-7-8,3.2,500
2026,0919,09,04,05,11,三連複,15-7-10,3.0,500
2026,0919,09,04,05,11,三連複,15-6-7,7.6,1000
2026,0919,09,04,05,11,三連複,15-8-10,1.6,500
2026,0919,09,04,05,11,三連複,15-6-8,4.2,500
2026,0919,09,04,05,11,三連複,15-6-10,3.9,500
2026,0919,09,04,05,12,馬連,16-14,46.9,4500
2026,0919,09,04,05,12,馬連,16-4,16.3,1500
2026,0919,09,04,05,12,馬連,16-13,16.0,1500
2026,0919,09,04,05,12,馬連,16-1,10.4,1000
2026,0919,09,04,05,12,馬連,16-15,10.4,1000
2026,0919,09,04,05,12,三連複,16-4-14,21.7,2000
2026,0919,09,04,05,12,三連複,16-13-14,21.2,2000
2026,0919,09,04,05,12,三連複,16-1-14,13.8,1500
2026,0919,09,04,05,12,三連複,16-14-15,13.9,1500
2026,0919,09,04,05,12,三連複,16-4-13,7.4,500
2026,0919,09,04,05,12,三連複,16-1-4,4.8,500
2026,0919,09,04,05,12,三連複,16-4-15,4.8,500
2026,0919,09,04,05,12,三連複,16-1-13,4.7,500
2026,0919,09,04,05,12,三連複,16-13-15,4.7,500
2026,0919,09,04,05,12,三連複,16-1-15,3.1,500
